#TIDs data obtained with mnig006-2019-01-06
#TimeTID PeriodTID PowerTID InitTime FinalTime InitPeriod FinalPeriod minSignal maxSignal
15.025000 0.479636 0.116161 14.706859 15.326128 0.363967 0.600481 -0.138091 0.116186
10.100000 0.523046 0.142322 9.765424 10.472965 0.409238 0.653503 -0.103616 0.161418
12.508333 0.455338 0.206435 11.765781 12.897426 0.357737 0.632402 -0.121776 0.197008
