#TIDs data obtained with mnig005-2019-01-05
#TimeTID PeriodTID PowerTID InitTime FinalTime InitPeriod FinalPeriod minSignal maxSignal
6.991667 0.432272 0.823427 6.612836 7.486959 0.271393 0.547660 -0.294393 0.458778
5.833333 0.505229 0.394551 5.398519 6.189971 0.385527 0.639723 -0.165684 0.251020
20.550000 0.632883 0.120620 20.196330 21.343322 0.411158 0.744718 -0.109825 0.120025
19.425000 0.570386 0.159534 18.899221 19.947607 0.440087 0.685462 -0.111811 0.132467
