#TIDs data obtained with mnig007-2019-01-07
#TimeTID PeriodTID PowerTID InitTime FinalTime InitPeriod FinalPeriod minSignal maxSignal
7.466667 0.270746 0.145158 7.274076 7.643023 0.254745 0.322535 -0.111200 0.201330
9.641667 0.410374 0.122166 9.271788 9.874702 0.318844 0.479764 -0.080994 0.178969
