 fecha          dia           mes          año               Dst         hora  
2018-06-25    176           6        2018    -44.0000000      21.0000000000000000
2018-06-25    176           6        2018    -41.0000000      22.0000000000000000
2018-06-25    176           6        2018    -43.0000000      23.0000000000000000
2018-06-26    177           6        2018    -46.0000000       0.0000000000000000
2018-06-26    177           6        2018    -48.0000000       1.0000000000000000
2018-06-26    177           6        2018    -41.0000000       2.0000000000000000
2018-06-26    177           6        2018    -39.0000000       3.0000000000000000
2018-06-26    177           6        2018    -42.0000000       4.0000000000000000
2018-06-26    177           6        2018    -40.0000000       5.0000000000000000
2018-06-26    177           6        2018    -37.0000000       7.0000000000000000
2018-06-26    177           6        2018    -31.0000000       8.0000000000000000
2018-06-26    177           6        2018    -37.0000000      18.0000000000000000
2018-06-26    177           6        2018    -40.0000000      19.0000000000000000
2018-06-26    177           6        2018    -37.0000000      20.0000000000000000
2018-06-26    177           6        2018    -32.0000000      21.0000000000000000
2018-08-15    227           8        2018    -31.0000000      13.0000000000000000
2018-08-15    227           8        2018    -32.0000000      14.0000000000000000
2018-08-16    228           8        2018    -32.0000000       3.0000000000000000
2018-08-16    228           8        2018    -34.0000000       4.0000000000000000
2018-08-16    228           8        2018    -31.0000000       5.0000000000000000
2018-08-17    229           8        2018    -34.0000000       3.0000000000000000
2018-08-17    229           8        2018    -37.0000000       4.0000000000000000
2018-08-25    237           8        2018    -36.0000000      20.0000000000000000
2018-08-25    237           8        2018    -31.0000000      21.0000000000000000
2018-08-25    237           8        2018    -34.0000000      22.0000000000000000
2018-08-25    237           8        2018    -50.0000000      23.0000000000000000
2018-08-26    238           8        2018    -60.0000000       0.0000000000000000
2018-08-26    238           8        2018    -74.0000000       1.0000000000000000
2018-08-26    238           8        2018    -85.0000000       2.0000000000000000
2018-08-26    238           8        2018   -104.0000000       3.0000000000000000
2018-08-26    238           8        2018   -127.0000000       4.0000000000000000
2018-08-26    238           8        2018   -154.0000000       5.0000000000000000
2018-08-26    238           8        2018   -175.0000000       6.0000000000000000
2018-08-26    238           8        2018   -174.0000000       7.0000000000000000
2018-08-26    238           8        2018   -149.0000000       8.0000000000000000
2018-08-26    238           8        2018   -156.0000000       9.0000000000000000
2018-08-26    238           8        2018   -140.0000000      10.0000000000000000
2018-08-26    238           8        2018   -129.0000000      11.0000000000000000
2018-08-26    238           8        2018   -111.0000000      12.0000000000000000
2018-08-26    238           8        2018    -92.0000000      13.0000000000000000
2018-08-26    238           8        2018    -78.0000000      14.0000000000000000
2018-08-26    238           8        2018    -81.0000000      15.0000000000000000
2018-08-26    238           8        2018    -86.0000000      16.0000000000000000
2018-08-26    238           8        2018    -85.0000000      17.0000000000000000
2018-08-26    238           8        2018    -75.0000000      18.0000000000000000
2018-08-26    238           8        2018    -73.0000000      19.0000000000000000
2018-08-26    238           8        2018    -81.0000000      20.0000000000000000
2018-08-26    238           8        2018    -75.0000000      21.0000000000000000
2018-08-26    238           8        2018    -69.0000000      22.0000000000000000
2018-08-26    238           8        2018    -64.0000000      23.0000000000000000
2018-08-27    239           8        2018    -62.0000000       0.0000000000000000
2018-08-27    239           8        2018    -61.0000000       1.0000000000000000
2018-08-27    239           8        2018    -60.0000000       2.0000000000000000
2018-08-27    239           8        2018    -60.0000000       3.0000000000000000
2018-08-27    239           8        2018    -62.0000000       4.0000000000000000
2018-08-27    239           8        2018    -61.0000000       5.0000000000000000
2018-08-27    239           8        2018    -66.0000000       6.0000000000000000
2018-08-27    239           8        2018    -71.0000000       7.0000000000000000
2018-08-27    239           8        2018    -66.0000000       8.0000000000000000
2018-08-27    239           8        2018    -63.0000000       9.0000000000000000
2018-08-27    239           8        2018    -59.0000000      10.0000000000000000
2018-08-27    239           8        2018    -59.0000000      11.0000000000000000
2018-08-27    239           8        2018    -56.0000000      12.0000000000000000
2018-08-27    239           8        2018    -54.0000000      13.0000000000000000
2018-08-27    239           8        2018    -57.0000000      14.0000000000000000
2018-08-27    239           8        2018    -63.0000000      15.0000000000000000
2018-08-27    239           8        2018    -63.0000000      16.0000000000000000
2018-08-27    239           8        2018    -61.0000000      17.0000000000000000
2018-08-27    239           8        2018    -56.0000000      18.0000000000000000
2018-08-27    239           8        2018    -55.0000000      19.0000000000000000
2018-08-27    239           8        2018    -52.0000000      20.0000000000000000
2018-08-27    239           8        2018    -50.0000000      21.0000000000000000
2018-08-27    239           8        2018    -49.0000000      22.0000000000000000
2018-08-27    239           8        2018    -48.0000000      23.0000000000000000
2018-08-28    240           8        2018    -47.0000000       0.0000000000000000
2018-08-28    240           8        2018    -46.0000000       1.0000000000000000
2018-08-28    240           8        2018    -46.0000000       2.0000000000000000
2018-08-28    240           8        2018    -44.0000000       3.0000000000000000
2018-08-28    240           8        2018    -42.0000000       4.0000000000000000
2018-08-28    240           8        2018    -40.0000000       5.0000000000000000
2018-08-28    240           8        2018    -40.0000000       6.0000000000000000
2018-08-28    240           8        2018    -42.0000000       7.0000000000000000
2018-08-28    240           8        2018    -38.0000000       8.0000000000000000
2018-08-28    240           8        2018    -40.0000000       9.0000000000000000
2018-08-28    240           8        2018    -40.0000000      10.0000000000000000
2018-08-28    240           8        2018    -38.0000000      11.0000000000000000
2018-08-28    240           8        2018    -40.0000000      12.0000000000000000
2018-08-28    240           8        2018    -45.0000000      13.0000000000000000
2018-08-28    240           8        2018    -48.0000000      14.0000000000000000
2018-08-28    240           8        2018    -46.0000000      15.0000000000000000
2018-08-28    240           8        2018    -43.0000000      16.0000000000000000
2018-08-28    240           8        2018    -38.0000000      17.0000000000000000
2018-08-28    240           8        2018    -35.0000000      18.0000000000000000
2018-08-28    240           8        2018    -33.0000000      19.0000000000000000
2018-08-28    240           8        2018    -34.0000000      20.0000000000000000
2018-08-28    240           8        2018    -31.0000000      21.0000000000000000
2018-08-29    241           8        2018    -32.0000000       0.0000000000000000
2018-08-29    241           8        2018    -34.0000000       1.0000000000000000
2018-08-29    241           8        2018    -35.0000000       2.0000000000000000
2018-08-29    241           8        2018    -37.0000000       3.0000000000000000
2018-08-29    241           8        2018    -37.0000000       4.0000000000000000
2018-08-29    241           8        2018    -35.0000000       5.0000000000000000
2018-08-29    241           8        2018    -35.0000000       6.0000000000000000
2018-08-29    241           8        2018    -34.0000000       7.0000000000000000
2018-08-29    241           8        2018    -31.0000000       8.0000000000000000
2018-08-29    241           8        2018    -32.0000000       9.0000000000000000
2018-08-29    241           8        2018    -32.0000000      10.0000000000000000
